INFO  - 2015-11-27 15:52:23.744; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863492001591 (1519008658219859968)]} 0 1
INFO  - 2015-11-27 15:52:23.748; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863492901591 (1519008658224054272)]} 0 1
INFO  - 2015-11-27 15:52:23.751; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863493101591 (1519008658228248576)]} 0 1
INFO  - 2015-11-27 15:52:23.755; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863493201591 (1519008658231394304)]} 0 1
INFO  - 2015-11-27 15:52:23.758; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863493801591 (1519008658235588608)]} 0 0
INFO  - 2015-11-27 15:52:23.762; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863494001591 (1519008658238734336)]} 0 1
INFO  - 2015-11-27 15:52:23.765; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863495001591 (1519008658242928640)]} 0 0
INFO  - 2015-11-27 15:52:23.769; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863495401591 (1519008658246074368)]} 0 1
INFO  - 2015-11-27 15:52:23.774; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863495501591 (1519008658251317248)]} 0 1
INFO  - 2015-11-27 15:52:23.779; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863495801591 (1519008658256560128)]} 0 1
INFO  - 2015-11-27 15:52:23.782; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863498801591 (1519008658260754432)]} 0 0
INFO  - 2015-11-27 15:52:23.788; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863499901591 (1519008658264948736)]} 0 2
INFO  - 2015-11-27 15:52:23.792; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863500501591 (1519008658270191616)]} 0 1
INFO  - 2015-11-27 15:52:23.797; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863689701591 (1519008658275434496)]} 0 1
INFO  - 2015-11-27 15:52:23.802; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863689901591 (1519008658280677376)]} 0 1
INFO  - 2015-11-27 15:52:23.808; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863691101591 (1519008658285920256)]} 0 2
INFO  - 2015-11-27 15:52:23.814; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863691301591 (1519008658292211712)]} 0 2
INFO  - 2015-11-27 15:52:23.819; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863692501591 (1519008658297454592)]} 0 2
INFO  - 2015-11-27 15:52:23.823; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863692701591 (1519008658302697472)]} 0 1
INFO  - 2015-11-27 15:52:23.828; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863692801591 (1519008658307940352)]} 0 1
INFO  - 2015-11-27 15:52:23.833; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863692901591 (1519008658312134656)]} 0 2
INFO  - 2015-11-27 15:52:23.838; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863693601591 (1519008658318426112)]} 0 1
INFO  - 2015-11-27 15:52:23.844; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863693901591 (1519008658323668992)]} 0 2
INFO  - 2015-11-27 15:52:23.849; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863694001591 (1519008658329960448)]} 0 1
INFO  - 2015-11-27 15:52:23.855; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863694201591 (1519008658335203328)]} 0 2
INFO  - 2015-11-27 15:52:23.860; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863696101591 (1519008658341494784)]} 0 1
INFO  - 2015-11-27 15:52:23.865; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863800801591 (1519008658346737664)]} 0 1
INFO  - 2015-11-27 15:52:23.871; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863801301591 (1519008658351980544)]} 0 2
INFO  - 2015-11-27 15:52:23.875; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863679701591 (1519008658357223424)]} 0 1
INFO  - 2015-11-27 15:52:23.881; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955863683401591 (1519008658362466304)]} 0 2
INFO  - 2015-11-27 15:52:23.884; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864399801591 (1519008658367709184)]} 0 1
INFO  - 2015-11-27 15:52:23.888; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864401301591 (1519008658370854912)]} 0 1
INFO  - 2015-11-27 15:52:23.893; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864401901591 (1519008658375049216)]} 0 2
INFO  - 2015-11-27 15:52:23.898; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865099501591 (1519008658380292096)]} 0 2
INFO  - 2015-11-27 15:52:23.902; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864800301591 (1519008658385534976)]} 0 1
INFO  - 2015-11-27 15:52:23.912; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864987501591 (1519008658392875008)]} 0 5
INFO  - 2015-11-27 15:52:23.917; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864988101591 (1519008658401263616)]} 0 1
INFO  - 2015-11-27 15:52:23.923; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864989101591 (1519008658406506496)]} 0 2
INFO  - 2015-11-27 15:52:23.928; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864989501591 (1519008658412797952)]} 0 2
INFO  - 2015-11-27 15:52:23.934; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864989901591 (1519008658418040832)]} 0 2
INFO  - 2015-11-27 15:52:23.939; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864992301591 (1519008658424332288)]} 0 2
INFO  - 2015-11-27 15:52:23.945; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864993001591 (1519008658429575168)]} 0 2
INFO  - 2015-11-27 15:52:23.950; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864993301591 (1519008658435866624)]} 0 1
INFO  - 2015-11-27 15:52:23.955; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864995001591 (1519008658441109504)]} 0 1
INFO  - 2015-11-27 15:52:23.962; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955864999401591 (1519008658446352384)]} 0 3
INFO  - 2015-11-27 15:52:23.967; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865000101591 (1519008658453692416)]} 0 2
INFO  - 2015-11-27 15:52:23.971; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865568701591 (1519008658457886720)]} 0 1
INFO  - 2015-11-27 15:52:23.975; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865570101591 (1519008658462081024)]} 0 1
INFO  - 2015-11-27 15:52:23.978; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865570301591 (1519008658466275328)]} 0 0
INFO  - 2015-11-27 15:52:23.983; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865570801591 (1519008658470469632)]} 0 1
INFO  - 2015-11-27 15:52:23.986; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865571901591 (1519008658473615360)]} 0 1
INFO  - 2015-11-27 15:52:23.990; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865572701591 (1519008658477809664)]} 0 1
INFO  - 2015-11-27 15:52:23.994; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865573201591 (1519008658482003968)]} 0 1
INFO  - 2015-11-27 15:52:23.998; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865574701591 (1519008658486198272)]} 0 1
INFO  - 2015-11-27 15:52:24.001; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865577401591 (1519008658490392576)]} 0 0
INFO  - 2015-11-27 15:52:24.005; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865577501591 (1519008658493538304)]} 0 1
INFO  - 2015-11-27 15:52:24.008; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865577801591 (1519008658496684032)]} 0 1
INFO  - 2015-11-27 15:52:24.012; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865578001591 (1519008658500878336)]} 0 1
INFO  - 2015-11-27 15:52:24.016; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865578501591 (1519008658505072640)]} 0 1
INFO  - 2015-11-27 15:52:24.020; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865579701591 (1519008658509266944)]} 0 1
INFO  - 2015-11-27 15:52:24.023; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865580501591 (1519008658513461248)]} 0 0
INFO  - 2015-11-27 15:52:24.027; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865582001591 (1519008658517655552)]} 0 1
INFO  - 2015-11-27 15:52:24.031; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865582801591 (1519008658520801280)]} 0 1
INFO  - 2015-11-27 15:52:24.034; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865583001591 (1519008658524995584)]} 0 0
INFO  - 2015-11-27 15:52:24.038; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865583901591 (1519008658528141312)]} 0 1
INFO  - 2015-11-27 15:52:24.041; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865585901591 (1519008658532335616)]} 0 0
INFO  - 2015-11-27 15:52:24.045; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865586201591 (1519008658535481344)]} 0 1
INFO  - 2015-11-27 15:52:24.049; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865587401591 (1519008658539675648)]} 0 1
